Épisode 330/2200, Score: 315.0, Epsilon: 0.1913
Épisode 331/2200, Score: 357.0, Epsilon: 0.1903
Épisode 332/2200, Score: 210.0, Epsilon: 0.1893
Épisode 333/2200, Score: 189.0, Epsilon: 0.1884
Épisode 334/2200, Score: 378.0, Epsilon: 0.1875
Épisode 335/2200, Score: 315.0, Epsilon: 0.1865
Épisode 336/2200, Score: 105.0, Epsilon: 0.1856
Épisode 337/2200, Score: 336.0, Epsilon: 0.1847
Épisode 338/2200, Score: 273.0, Epsilon: 0.1837
Épisode 339/2200, Score: 315.0, Epsilon: 0.1828
Épisode 340/2200, Score: 399.0, Epsilon: 0.1819
Épisode 341/2200, Score: 273.0, Epsilon: 0.1810
Épisode 342/2200, Score: 294.0, Epsilon: 0.1801
Épisode 343/2200, Score: 294.0, Epsilon: 0.1792
Épisode 344/2200, Score: 399.0, Epsilon: 0.1783
Épisode 345/2200, Score: 399.0, Epsilon: 0.1774
Épisode 346/2200, Score: 483.0, Epsilon: 0.1765
Épisode 347/2200, Score: 336.0, Epsilon: 0.1756
Épisode 348/2200, Score: 357.0, Epsilon: 0.1748
Épisode 349/2200, Score: 273.0, Epsilon: 0.1739
Épisode 350/2200, Score: 231.0, Epsilon: 0.1730
Épisode 351/2200, Score: 483.0, Epsilon: 0.1721
Épisode 352/2200, Score: 567.0, Epsilon: 0.1713
Épisode 353/2200, Score: 210.0, Epsilon: 0.1704
Épisode 354/2200, Score: 336.0, Epsilon: 0.1696
Épisode 355/2200, Score: 315.0, Epsilon: 0.1687
Épisode 356/2200, Score: 189.0, Epsilon: 0.1679
Épisode 357/2200, Score: 315.0, Epsilon: 0.1670
Épisode 358/2200, Score: 378.0, Epsilon: 0.1662
Épisode 359/2200, Score: 357.0, Epsilon: 0.1654
Épisode 360/2200, Score: 378.0, Epsilon: 0.1646
Épisode 361/2200, Score: 399.0, Epsilon: 0.1637
Épisode 362/2200, Score: 252.0, Epsilon: 0.1629
Épisode 363/2200, Score: 273.0, Epsilon: 0.1621
Épisode 364/2200, Score: 168.0, Epsilon: 0.1613
