Épisode 270/5000, Score: 273.0, Epsilon: 0.2584
Épisode 271/5000, Score: 315.0, Epsilon: 0.2571
Épisode 272/5000, Score: 105.0, Epsilon: 0.2558
Épisode 273/5000, Score: 168.0, Epsilon: 0.2545
Épisode 274/5000, Score: 189.0, Epsilon: 0.2532
Épisode 275/5000, Score: 105.0, Epsilon: 0.2520
Épisode 276/5000, Score: 231.0, Epsilon: 0.2507
Épisode 277/5000, Score: 252.0, Epsilon: 0.2495
Épisode 278/5000, Score: 189.0, Epsilon: 0.2482
Épisode 279/5000, Score: 126.0, Epsilon: 0.2470
Épisode 280/5000, Score: 168.0, Epsilon: 0.2457
Épisode 281/5000, Score: 189.0, Epsilon: 0.2445
Épisode 282/5000, Score: 231.0, Epsilon: 0.2433
Épisode 283/5000, Score: 105.0, Epsilon: 0.2421
Épisode 284/5000, Score: 231.0, Epsilon: 0.2409
Épisode 285/5000, Score: 105.0, Epsilon: 0.2397
Épisode 286/5000, Score: 168.0, Epsilon: 0.2385
Épisode 287/5000, Score: 231.0, Epsilon: 0.2373
Épisode 288/5000, Score: 420.0, Epsilon: 0.2361
Épisode 289/5000, Score: 189.0, Epsilon: 0.2349
Épisode 290/5000, Score: 147.0, Epsilon: 0.2337
Épisode 291/5000, Score: 126.0, Epsilon: 0.2326
Épisode 292/5000, Score: 315.0, Epsilon: 0.2314
Épisode 293/5000, Score: 84.0, Epsilon: 0.2302
Épisode 294/5000, Score: 126.0, Epsilon: 0.2291
Épisode 295/5000, Score: 189.0, Epsilon: 0.2279
Épisode 296/5000, Score: 42.0, Epsilon: 0.2268
Épisode 297/5000, Score: 147.0, Epsilon: 0.2257
Épisode 298/5000, Score: 294.0, Epsilon: 0.2245
Épisode 299/5000, Score: 126.0, Epsilon: 0.2234
Épisode 300/5000, Score: 294.0, Epsilon: 0.2223
Épisode 301/5000, Score: 168.0, Epsilon: 0.2212
Épisode 302/5000, Score: 168.0, Epsilon: 0.2201
Épisode 303/5000, Score: 189.0, Epsilon: 0.2190
Épisode 304/5000, Score: 147.0, Epsilon: 0.2179
Épisode 305/5000, Score: 294.0, Epsilon: 0.2168
Épisode 306/5000, Score: 168.0, Epsilon: 0.2157
Épisode 307/5000, Score: 168.0, Epsilon: 0.2146
Épisode 308/5000, Score: 168.0, Epsilon: 0.2136
Épisode 309/5000, Score: 84.0, Epsilon: 0.2125
Épisode 310/5000, Score: 189.0, Epsilon: 0.2114
Épisode 311/5000, Score: 273.0, Epsilon: 0.2104
Épisode 312/5000, Score: 273.0, Epsilon: 0.2093
Épisode 313/5000, Score: 147.0, Epsilon: 0.2083
Épisode 314/5000, Score: 273.0, Epsilon: 0.2072
Épisode 315/5000, Score: 210.0, Epsilon: 0.2062
Épisode 316/5000, Score: 168.0, Epsilon: 0.2052
Épisode 317/5000, Score: 357.0, Epsilon: 0.2041
Épisode 318/5000, Score: 189.0, Epsilon: 0.2031
Épisode 319/5000, Score: 168.0, Epsilon: 0.2021
Épisode 320/5000, Score: 189.0, Epsilon: 0.2011
Épisode 321/5000, Score: 126.0, Epsilon: 0.2001
Épisode 322/5000, Score: 189.0, Epsilon: 0.1991
Épisode 323/5000, Score: 105.0, Epsilon: 0.1981
Épisode 324/5000, Score: 84.0, Epsilon: 0.1971
Épisode 325/5000, Score: 210.0, Epsilon: 0.1961
Épisode 326/5000, Score: 210.0, Epsilon: 0.1951
Épisode 327/5000, Score: 252.0, Epsilon: 0.1942
Épisode 328/5000, Score: 231.0, Epsilon: 0.1932
Épisode 329/5000, Score: 420.0, Epsilon: 0.1922
Épisode 330/5000, Score: 147.0, Epsilon: 0.1913
Épisode 331/5000, Score: 252.0, Epsilon: 0.1903
Épisode 332/5000, Score: 126.0, Epsilon: 0.1893
Épisode 333/5000, Score: 168.0, Epsilon: 0.1884
Épisode 334/5000, Score: 126.0, Epsilon: 0.1875
Épisode 335/5000, Score: 231.0, Epsilon: 0.1865
Épisode 336/5000, Score: 168.0, Epsilon: 0.1856
Épisode 337/5000, Score: 84.0, Epsilon: 0.1847
Épisode 338/5000, Score: 105.0, Epsilon: 0.1837
Épisode 339/5000, Score: 126.0, Epsilon: 0.1828
Épisode 340/5000, Score: 315.0, Epsilon: 0.1819
Épisode 341/5000, Score: 273.0, Epsilon: 0.1810
Épisode 342/5000, Score: 210.0, Epsilon: 0.1801
Épisode 343/5000, Score: 189.0, Epsilon: 0.1792
Épisode 344/5000, Score: 84.0, Epsilon: 0.1783
Épisode 345/5000, Score: 105.0, Epsilon: 0.1774
Épisode 346/5000, Score: 294.0, Epsilon: 0.1765
Épisode 347/5000, Score: 189.0, Epsilon: 0.1756
Épisode 348/5000, Score: 84.0, Epsilon: 0.1748
Épisode 349/5000, Score: 147.0, Epsilon: 0.1739
Épisode 350/5000, Score: 168.0, Epsilon: 0.1730
Épisode 351/5000, Score: 252.0, Epsilon: 0.1721
Épisode 352/5000, Score: 231.0, Epsilon: 0.1713
Épisode 353/5000, Score: 189.0, Epsilon: 0.1704
Épisode 354/5000, Score: 189.0, Epsilon: 0.1696
Épisode 355/5000, Score: 105.0, Epsilon: 0.1687
Épisode 356/5000, Score: 252.0, Epsilon: 0.1679
Épisode 357/5000, Score: 231.0, Epsilon: 0.1670
Épisode 358/5000, Score: 189.0, Epsilon: 0.1662
Épisode 359/5000, Score: 147.0, Epsilon: 0.1654
Épisode 360/5000, Score: 126.0, Epsilon: 0.1646
Épisode 361/5000, Score: 105.0, Epsilon: 0.1637
Épisode 362/5000, Score: 168.0, Epsilon: 0.1629
Épisode 363/5000, Score: 189.0, Epsilon: 0.1621
Épisode 364/5000, Score: 189.0, Epsilon: 0.1613
Épisode 365/5000, Score: 105.0, Epsilon: 0.1605
Épisode 366/5000, Score: 168.0, Epsilon: 0.1597
Épisode 367/5000, Score: 189.0, Epsilon: 0.1589
