Episode235/2500Reward:609.0, Epsilon :0.3079101286968243
Episode236/2500Reward:682.0, Epsilon :0.3063705780533402
Episode237/2500Reward:378.0, Epsilon :0.30483872516307353
Episode238/2500Reward:546.0, Epsilon :0.3033145315372582
Episode239/2500Reward:378.0, Epsilon :0.3017979588795719
Episode240/2500Reward:651.0, Epsilon :0.30028896908517405
Episode241/2500Reward:504.0, Epsilon :0.2987875242397482
Episode242/2500Reward:525.0, Epsilon :0.29729358661854943
Episode243/2500Reward:525.0, Epsilon :0.29580711868545667
Episode244/2500Reward:441.0, Epsilon :0.2943280830920294
Episode245/2500Reward:702.0, Epsilon :0.29285644267656924
Episode246/2500Reward:630.0, Epsilon :0.2913921604631864
Episode247/2500Reward:525.0, Epsilon :0.28993519966087045
Episode248/2500Reward:399.0, Epsilon :0.2884855236625661
Episode249/2500Reward:609.0, Epsilon :0.28704309604425327
Episode250/2500Reward:609.0, Epsilon :0.285607880564032
Episode251/2500Reward:483.0, Epsilon :0.28417984116121187
Episode252/2500Reward:378.0, Epsilon :0.2827589419554058
Episode253/2500Reward:609.0, Epsilon :0.28134514724562876
Episode254/2500Reward:462.0, Epsilon :0.2799384215094006
Episode255/2500Reward:693.0, Epsilon :0.27853872940185365
Episode256/2500Reward:420.0, Epsilon :0.27714603575484437
Episode257/2500Reward:252.0, Epsilon :0.2757603055760701
Episode258/2500Reward:399.0, Epsilon :0.2743815040481898
Episode259/2500Reward:378.0, Epsilon :0.2730095965279488
Episode260/2500Reward:483.0, Epsilon :0.27164454854530906
Episode261/2500Reward:567.0, Epsilon :0.2702863258025825
Episode262/2500Reward:525.0, Epsilon :0.2689348941735696
Episode263/2500Reward:546.0, Epsilon :0.26759021970270175
Episode264/2500Reward:546.0, Epsilon :0.2662522686041882
Episode265/2500Reward:420.0, Epsilon :0.2649210072611673
Episode266/2500Reward:525.0, Epsilon :0.26359640222486147
Episode267/2500Reward:693.0, Epsilon :0.26227842021373715
Episode268/2500Reward:588.0, Epsilon :0.2609670281126685
Episode269/2500Reward:546.0, Epsilon :0.25966219297210513
Episode270/2500Reward:724.0, Epsilon :0.2583638820072446
Episode271/2500Reward:714.0, Epsilon :0.2570720625972084
Episode272/2500Reward:504.0, Epsilon :0.25578670228422234
Episode273/2500Reward:441.0, Epsilon :0.25450776877280124
Episode274/2500Reward:441.0, Epsilon :0.2532352299289372
Episode275/2500Reward:609.0, Epsilon :0.2519690537792925
Episode276/2500Reward:525.0, Epsilon :0.2507092085103961
Episode277/2500Reward:630.0, Epsilon :0.2494556624678441
Episode278/2500Reward:651.0, Epsilon :0.24820838415550486
Episode279/2500Reward:525.0, Epsilon :0.24696734223472733
Episode280/2500Reward:692.0, Epsilon :0.2457325055235537
Episode281/2500Reward:546.0, Epsilon :0.24450384299593592
Episode282/2500Reward:483.0, Epsilon :0.24328132378095624
Episode283/2500Reward:525.0, Epsilon :0.24206491716205145
Episode284/2500Reward:462.0, Epsilon :0.2408545925762412
Episode285/2500Reward:546.0, Epsilon :0.23965031961336
Episode286/2500Reward:672.0, Epsilon :0.2384520680152932
Episode287/2500Reward:462.0, Epsilon :0.23725980767521673
Episode288/2500Reward:546.0, Epsilon :0.23607350863684065
Episode289/2500Reward:420.0, Epsilon :0.23489314109365644
Episode290/2500Reward:441.0, Epsilon :0.23371867538818816
Episode291/2500Reward:609.0, Epsilon :0.23255008201124722
Episode292/2500Reward:651.0, Epsilon :0.231387331601191
Episode293/2500Reward:210.0, Epsilon :0.23023039494318503
Episode294/2500Reward:588.0, Epsilon :0.2290792429684691
Episode295/2500Reward:420.0, Epsilon :0.22793384675362674
Episode296/2500Reward:462.0, Epsilon :0.22679417751985861
Episode297/2500Reward:588.0, Epsilon :0.22566020663225933
Episode298/2500Reward:546.0, Epsilon :0.22453190559909803
Episode299/2500Reward:714.0, Epsilon :0.22340924607110255
Episode300/2500Reward:462.0, Epsilon :0.22229219984074702
Episode301/2500Reward:525.0, Epsilon :0.2211807388415433
Episode302/2500Reward:567.0, Epsilon :0.22007483514733558
Episode303/2500Reward:609.0, Epsilon :0.2189744609715989
Episode304/2500Reward:609.0, Epsilon :0.2178795886667409
Episode305/2500Reward:661.0, Epsilon :0.2167901907234072
Episode306/2500Reward:273.0, Epsilon :0.21570623976979014
Episode307/2500Reward:630.0, Epsilon :0.21462770857094118
Episode308/2500Reward:588.0, Epsilon :0.21355457002808648
Episode309/2500Reward:567.0, Epsilon :0.21248679717794605
Episode310/2500Reward:504.0, Epsilon :0.21142436319205632
Episode311/2500Reward:420.0, Epsilon :0.21036724137609603
Episode312/2500Reward:567.0, Epsilon :0.20931540516921554
Episode313/2500Reward:734.0, Epsilon :0.20826882814336947
Episode314/2500Reward:546.0, Epsilon :0.20722748400265262
Episode315/2500Reward:441.0, Epsilon :0.20619134658263935
Episode316/2500Reward:630.0, Epsilon :0.20516038984972615
Episode317/2500Reward:630.0, Epsilon :0.2041345879004775
Episode318/2500Reward:588.0, Epsilon :0.2031139149609751
Episode319/2500Reward:546.0, Epsilon :0.20209834538617025
Episode320/2500Reward:441.0, Epsilon :0.2010878536592394
Episode321/2500Reward:441.0, Epsilon :0.2000824143909432
Episode322/2500Reward:546.0, Epsilon :0.19908200231898848
Episode323/2500Reward:504.0, Epsilon :0.19808659230739353
Episode324/2500Reward:399.0, Epsilon :0.19709615934585656
Episode325/2500Reward:692.0, Epsilon :0.19611067854912728
Episode326/2500Reward:378.0, Epsilon :0.19513012515638165
Episode327/2500Reward:504.0, Epsilon :0.19415447453059972
Episode328/2500Reward:567.0, Epsilon :0.19318370215794672
Episode329/2500Reward:630.0, Epsilon :0.192217783647157
Episode330/2500Reward:336.0, Epsilon :0.1912566947289212
Episode331/2500Reward:567.0, Epsilon :0.1903004112552766
Episode332/2500Reward:378.0, Epsilon :0.18934890919900021
Episode333/2500Reward:504.0, Epsilon :0.18840216465300522
Episode334/2500Reward:609.0, Epsilon :0.18746015382974018
Episode335/2500Reward:462.0, Epsilon :0.1865228530605915
Episode336/2500Reward:420.0, Epsilon :0.18559023879528855
Episode337/2500Reward:588.0, Epsilon :0.1846622876013121
Episode338/2500Reward:609.0, Epsilon :0.18373897616330553
Episode339/2500Reward:462.0, Epsilon :0.182820281282489
Episode340/2500Reward:640.0, Epsilon :0.18190617987607657
Episode341/2500Reward:567.0, Epsilon :0.18099664897669618
Episode342/2500Reward:504.0, Epsilon :0.1800916657318127
Episode343/2500Reward:651.0, Epsilon :0.17919120740315364
Episode344/2500Reward:661.0, Epsilon :0.17829525136613786
Episode345/2500Reward:483.0, Epsilon :0.17740377510930716
Episode346/2500Reward:420.0, Epsilon :0.17651675623376062
Episode347/2500Reward:630.0, Epsilon :0.1756341724525918
Episode348/2500Reward:630.0, Epsilon :0.17475600159032884
Episode349/2500Reward:504.0, Epsilon :0.17388222158237718
Episode350/2500Reward:525.0, Epsilon :0.1730128104744653
Episode351/2500Reward:441.0, Epsilon :0.17214774642209296
Episode352/2500Reward:567.0, Epsilon :0.1712870076899825
Episode353/2500Reward:315.0, Epsilon :0.17043057265153258
Episode354/2500Reward:609.0, Epsilon :0.16957841978827493
Episode355/2500Reward:609.0, Epsilon :0.16873052768933355
Episode356/2500Reward:630.0, Epsilon :0.1678868750508869
Episode357/2500Reward:630.0, Epsilon :0.16704744067563246
Episode358/2500Reward:588.0, Epsilon :0.1662122034722543
Episode359/2500Reward:651.0, Epsilon :0.16538114245489302
Episode360/2500Reward:504.0, Epsilon :0.16455423674261854
Episode361/2500Reward:483.0, Epsilon :0.16373146555890544
Episode362/2500Reward:672.0, Epsilon :0.16291280823111093
Episode363/2500Reward:231.0, Epsilon :0.16209824418995536
Episode364/2500Reward:588.0, Epsilon :0.16128775296900558
Episode365/2500Reward:672.0, Epsilon :0.16048131420416054
Episode366/2500Reward:609.0, Epsilon :0.15967890763313974
Episode367/2500Reward:588.0, Epsilon :0.15888051309497406
Episode368/2500Reward:441.0, Epsilon :0.1580861105294992
Episode369/2500Reward:483.0, Epsilon :0.1572956799768517
Episode370/2500Reward:567.0, Epsilon :0.15650920157696743
Episode371/2500Reward:827.0, Epsilon :0.1557266555690826
Episode372/2500Reward:168.0, Epsilon :0.1549480222912372
Episode373/2500Reward:504.0, Epsilon :0.15417328217978102
Episode374/2500Reward:672.0, Epsilon :0.1534024157688821
Episode375/2500Reward:336.0, Epsilon :0.1526354036900377
Episode376/2500Reward:651.0, Epsilon :0.1518722266715875
Episode377/2500Reward:462.0, Epsilon :0.15111286553822956
Episode378/2500Reward:483.0, Epsilon :0.15035730121053842
Episode379/2500Reward:651.0, Epsilon :0.14960551470448571
Episode380/2500Reward:525.0, Epsilon :0.14885748713096328
Episode381/2500Reward:651.0, Epsilon :0.14811319969530845
Episode382/2500Reward:567.0, Epsilon :0.1473726336968319
Episode383/2500Reward:588.0, Epsilon :0.14663577052834775
Episode384/2500Reward:525.0, Epsilon :0.14590259167570602
Episode385/2500Reward:378.0, Epsilon :0.1451730787173275
Episode386/2500Reward:483.0, Epsilon :0.14444721332374086
Episode387/2500Reward:630.0, Epsilon :0.14372497725712216
Episode388/2500Reward:651.0, Epsilon :0.14300635237083656
Episode389/2500Reward:609.0, Epsilon :0.14229132060898236
Episode390/2500Reward:567.0, Epsilon :0.14157986400593744
Episode391/2500Reward:714.0, Epsilon :0.14087196468590776
Episode392/2500Reward:651.0, Epsilon :0.14016760486247823
Episode393/2500Reward:441.0, Epsilon :0.13946676683816583
Episode394/2500Reward:651.0, Epsilon :0.138769433003975
Episode395/2500Reward:357.0, Epsilon :0.13807558583895513
Episode396/2500Reward:462.0, Epsilon :0.13738520790976036
Episode397/2500Reward:441.0, Epsilon :0.13669828187021155
Episode398/2500Reward:357.0, Epsilon :0.13601479046086049
Episode399/2500Reward:525.0, Epsilon :0.1353347165085562
Episode400/2500Reward:651.0, Epsilon :0.1346580429260134
Episode401/2500Reward:609.0, Epsilon :0.13398475271138335
Episode402/2500Reward:525.0, Epsilon :0.13331482894782642
Episode403/2500Reward:766.0, Epsilon :0.13264825480308728
Episode404/2500Reward:630.0, Epsilon :0.13198501352907185
Episode405/2500Reward:651.0, Epsilon :0.1313250884614265
Episode406/2500Reward:525.0, Epsilon :0.13066846301911936
Episode407/2500Reward:336.0, Epsilon :0.13001512070402377
Episode408/2500Reward:483.0, Epsilon :0.12936504510050365
Episode409/2500Reward:808.0, Epsilon :0.12871821987500112
Episode410/2500Reward:588.0, Epsilon :0.12807462877562611
