Épisode 286/7000, Score: 231.0, Epsilon: 0.2385
Épisode 287/7000, Score: 210.0, Epsilon: 0.2373
Épisode 288/7000, Score: 378.0, Epsilon: 0.2361
Épisode 289/7000, Score: 378.0, Epsilon: 0.2349
Épisode 290/7000, Score: 357.0, Epsilon: 0.2337
Épisode 291/7000, Score: 252.0, Epsilon: 0.2326
Épisode 292/7000, Score: 315.0, Epsilon: 0.2314
Épisode 293/7000, Score: 189.0, Epsilon: 0.2302
Épisode 294/7000, Score: 168.0, Epsilon: 0.2291
Épisode 295/7000, Score: 294.0, Epsilon: 0.2279
Épisode 296/7000, Score: 294.0, Epsilon: 0.2268
Épisode 297/7000, Score: 294.0, Epsilon: 0.2257
Épisode 298/7000, Score: 420.0, Epsilon: 0.2245
Épisode 299/7000, Score: 189.0, Epsilon: 0.2234
Épisode 300/7000, Score: 315.0, Epsilon: 0.2223
Épisode 301/7000, Score: 357.0, Epsilon: 0.2212
Épisode 302/7000, Score: 273.0, Epsilon: 0.2201
Épisode 303/7000, Score: 357.0, Epsilon: 0.2190
Épisode 304/7000, Score: 441.0, Epsilon: 0.2179
Épisode 305/7000, Score: 315.0, Epsilon: 0.2168
Épisode 306/7000, Score: 210.0, Epsilon: 0.2157
Épisode 307/7000, Score: 210.0, Epsilon: 0.2146
Épisode 308/7000, Score: 189.0, Epsilon: 0.2136
Épisode 309/7000, Score: 210.0, Epsilon: 0.2125
Épisode 310/7000, Score: 126.0, Epsilon: 0.2114
Épisode 311/7000, Score: 315.0, Epsilon: 0.2104
Épisode 312/7000, Score: 336.0, Epsilon: 0.2093
Épisode 313/7000, Score: 252.0, Epsilon: 0.2083
Épisode 314/7000, Score: 336.0, Epsilon: 0.2072
Épisode 315/7000, Score: 336.0, Epsilon: 0.2062
Épisode 316/7000, Score: 294.0, Epsilon: 0.2052
Épisode 317/7000, Score: 252.0, Epsilon: 0.2041
Épisode 318/7000, Score: 189.0, Epsilon: 0.2031
Épisode 319/7000, Score: 189.0, Epsilon: 0.2021
Épisode 320/7000, Score: 273.0, Epsilon: 0.2011
Épisode 321/7000, Score: 210.0, Epsilon: 0.2001
Épisode 322/7000, Score: 294.0, Epsilon: 0.1991
Épisode 323/7000, Score: 420.0, Epsilon: 0.1981
Épisode 324/7000, Score: 378.0, Epsilon: 0.1971
Épisode 325/7000, Score: 315.0, Epsilon: 0.1961
Épisode 326/7000, Score: 420.0, Epsilon: 0.1951
Épisode 327/7000, Score: 441.0, Epsilon: 0.1942
Épisode 328/7000, Score: 378.0, Epsilon: 0.1932
Épisode 329/7000, Score: 231.0, Epsilon: 0.1922
Épisode 330/7000, Score: 294.0, Epsilon: 0.1913
Épisode 331/7000, Score: 189.0, Epsilon: 0.1903
Épisode 332/7000, Score: 294.0, Epsilon: 0.1893
Épisode 333/7000, Score: 294.0, Epsilon: 0.1884
Épisode 334/7000, Score: 231.0, Epsilon: 0.1875
Épisode 335/7000, Score: 357.0, Epsilon: 0.1865
Épisode 336/7000, Score: 168.0, Epsilon: 0.1856
Épisode 337/7000, Score: 231.0, Epsilon: 0.1847
Épisode 338/7000, Score: 231.0, Epsilon: 0.1837
Épisode 339/7000, Score: 273.0, Epsilon: 0.1828
Épisode 340/7000, Score: 168.0, Epsilon: 0.1819
Épisode 341/7000, Score: 315.0, Epsilon: 0.1810
Épisode 342/7000, Score: 336.0, Epsilon: 0.1801
Épisode 343/7000, Score: 294.0, Epsilon: 0.1792
Épisode 344/7000, Score: 336.0, Epsilon: 0.1783
